player_id,player_name,primary_team,competitions_played,n_matches_played,total_minutes_played,primary_position
3650,Daryl Janmaat,Newcastle United,Premier League,32,2865.0,Right Back
3044,Chancel Mbemba Mangulu,Newcastle United,Premier League,33,3057.0,Right Center Back
26207,Fabricio Coloccini,Newcastle United,Premier League,26,2393.0,Left Center Back
3065,Paul Dummett,Newcastle United,Premier League,23,1965.0,Left Back
16072,Vurnon Anita,Newcastle United,Premier League,28,2180.0,Right Center Midfield
9649,Jack Colback,Newcastle United,Premier League,29,2459.0,Left Defensive Midfield
3091,Moussa Sissoko,Newcastle United,Premier League,37,3347.0,Right Wing
3567,Georginio Wijnaldum,Newcastle United,Premier League,38,3293.0,Center Attacking Midfield
30289,Papiss Demba Cissé,Newcastle United,Premier League,21,1104.0,Center Forward
3583,Ashley Westwood,Aston Villa,Premier League,32,2837.0,Right Center Midfield
4269,Aleksandar Mitrović,Newcastle United,Premier League,34,2216.0,Center Forward
3076,Ayoze Pérez Gutiérrez,Newcastle United,Premier League,34,2147.0,Left Wing
13042,Tim Howard,Everton,Premier League,25,2348.0,Goalkeeper
3244,John Stones,Everton,Premier League,33,2903.0,Right Center Back
3518,Leighton Baines,Everton,Premier League,18,1553.0,Left Back
3607,James McCarthy,Everton,Premier League,29,2520.0,Right Defensive Midfield
3953,Aaron Lennon,Everton,Premier League,25,1614.0,Right Wing
4275,Ross Barkley,Everton,Premier League,38,3170.0,Center Attacking Midfield
3683,Tom Cleverley,Everton,Premier League,22,1681.0,Left Wing
9626,Tommy Elphick,AFC Bournemouth,Premier League,12,1064.0,Right Center Back
3646,Marc Pugh,AFC Bournemouth,Premier League,26,1406.0,Left Midfield
3289,Romelu Lukaku Menama,Everton,Premier League,37,3290.0,Center Forward
3278,Benik Afobe,AFC Bournemouth,Premier League,15,953.0,Center Forward
3488,Wayne Hennessey,Crystal Palace,Premier League,29,2726.0,Goalkeeper
3443,Joel Ward,Crystal Palace,Premier League,30,2808.0,Right Back
3407,Scott Dann,Crystal Palace,Premier League,35,3293.0,Right Center Back
3693,Damien Delaney,Crystal Palace,Premier League,32,3006.0,Left Center Back
4884,Pape N''Diaye Souaré,Crystal Palace,Premier League,34,3144.0,Left Back
5489,Mile Jedinak,Crystal Palace,Premier League,27,1640.0,Left Defensive Midfield
3507,Wilfried Zaha,Crystal Palace,Premier League,34,2581.0,Right Wing
3277,Yohan Cabaye,Crystal Palace,Premier League,33,2758.0,Right Defensive Midfield
20641,Connor Wickham,Crystal Palace,Premier League,21,1366.0,Center Forward
3522,Heurelho da Silva Gomes,Watford,Premier League,38,3542.0,Goalkeeper
3991,Allan Romeo Nyom,Watford,Premier League,32,2567.0,Right Back
3309,Sebastian Prödl,Watford,Premier League,21,1860.0,Right Center Back
3263,Craig Cathcart,Watford,Premier League,35,3176.0,Right Center Back
3306,Nathan Aké,Watford,Premier League,24,1969.0,Left Back
3626,Ben Watson,Watford,Premier League,35,2951.0,Left Defensive Midfield
3721,Etienne Capoue,Watford,Premier League,33,2922.0,Right Center Midfield
5540,Valon Behrami,Watford,Premier League,21,1330.0,Left Center Midfield
3454,Troy Deeney,Watford,Premier League,38,3439.0,Right Center Forward
3302,Nordin Amrabat,Málaga,"La Liga, Premier League",25,1555.0,Right Midfield
