event_id,match_id,season_id,team_id,team_name,player_id,player_name,period,minute,second,play_pattern,location_x,location_y,distance_to_goal,angle_to_goal,under_pressure,body_part,technique,shot_type,first_time,aerial_won,open_goal,n_teammates_in_frame,n_opponents_in_frame,keeper_x,keeper_y,end_location_x,end_location_y,outcome,statsbomb_xg
7c951da3-8d74-432e-8fd4-2a6807a7ff24,3869486,106,780,Portugal,5204,Bruno Miguel Borges Fernandes,1,44,23,From Throw In,108.0,62.3,25.323704310388713,-1.0771224090590963,False,Right Foot,Half Volley,Open Play,True,False,False,5,8,117.9,43.0,120.0,39.1,Post,0.0067060287
1b7f0b8c-83a1-4f81-a6d2-469a14a2beda,3869486,106,788,Morocco,31295,Yahia Attiyat allah,1,46,58,From Counter,107.6,26.3,18.478365728602736,0.8351654641475147,False,Left Foot,Normal,Open Play,True,False,False,3,6,118.4,36.9,120.0,35.0,Off T,0.082217455
3b8ce4f0-d61d-4dda-9c67-8c240bdbbc47,3869486,106,788,Morocco,46258,Azzedine Ounahi,2,55,0,Regular Play,93.4,44.2,26.929537686339877,-0.1566018769820155,False,Right Foot,Normal,Open Play,True,False,False,4,8,117.1,41.4,120.0,48.3,Off T,0.032880384
4d09313e-118e-459a-9ee8-01dc7a56f08f,3869486,106,780,Portugal,38803,Gonçalo Matias Ramos,2,57,28,From Goal Kick,108.7,40.0,11.299999999999997,0.0,False,Head,Normal,Open Play,False,False,False,6,11,118.2,40.7,120.0,46.8,Off T,0.10594022
13d33a38-98fb-4bd9-8a7f-c77928e25cba,3869486,106,780,Portugal,12041,João Félix Sequeira,2,60,14,Regular Play,109.7,29.4,14.780054127099804,0.7997512446712692,True,Head,Normal,Open Play,False,True,False,6,11,117.5,37.5,110.4,29.7,Blocked,0.026895314
8fd3af63-509c-463b-88d2-fa1c6eabb793,3869486,106,780,Portugal,5204,Bruno Miguel Borges Fernandes,2,63,4,From Throw In,101.0,35.5,19.525624189766635,0.23255694180490905,True,Right Foot,Normal,Open Play,False,False,False,6,9,115.7,37.8,120.0,37.5,Off T,0.057325892
66863928-254c-403c-8dc7-ffbd0b98fce5,3869486,106,780,Portugal,3193,Bernardo Mota Veiga de Carvalho e Silva,2,70,44,From Free Kick,109.8,35.9,10.993179703798173,0.38219556469493515,False,Right Foot,Normal,Open Play,True,False,False,8,11,119.1,38.8,114.5,55.7,Wayward,0.10927713
d3101e93-d011-401a-af9c-5a1c560c72ec,3869486,106,780,Portugal,12041,João Félix Sequeira,2,81,59,Regular Play,102.0,57.1,24.8276056034407,-0.7597627548757708,False,Left Foot,Normal,Open Play,True,False,False,5,11,118.2,42.5,117.4,40.8,Saved,0.025960794
d4278a80-ee3d-4ef1-9255-cf9dc4ce1580,3869486,106,780,Portugal,5207,Cristiano Ronaldo dos Santos Aveiro,2,90,24,From Free Kick,101.8,53.7,22.780035118497956,-0.6452570332397162,True,Right Foot,Normal,Open Play,True,False,False,1,7,113.5,45.0,113.4,46.4,Saved,0.05699573
69bc4e3c-2854-42c1-89ba-e159f7515567,3869486,106,788,Morocco,21736,Zakaria Aboukhlal,2,95,20,Regular Play,101.1,45.9,19.799494943053478,-0.30258357281313325,False,Right Foot,Lob,Open Play,False,False,False,0,3,105.9,44.3,106.0,44.3,Saved,0.39109123
d7d80857-d613-45c5-8c49-59d19af73f1d,3869486,106,780,Portugal,20016,Kléper Laveran Lima Ferreira,2,96,40,From Throw In,114.1,44.5,7.420242583635663,-0.6515871859228571,True,Head,Normal,Open Play,False,True,False,7,10,118.3,40.7,120.0,45.2,Off T,0.14926605
616b0bce-d5cc-4417-98c4-b831cfbe9a4d,3857260,106,794,Mexico,28825,Luis Gerardo Chávez Magallón,1,1,9,From Throw In,91.7,51.5,30.54734030975528,-0.3859774471439752,False,Left Foot,Normal,Open Play,True,False,False,7,10,118.0,41.0,120.0,46.6,Off T,0.021919996
9dd15d0d-0ff7-4b3a-a352-dbfc2bd33ced,3857260,106,799,Saudi Arabia,51469,Saleh Khalid Al Shehri,1,2,8,From Throw In,92.9,41.7,27.15326867984773,-0.06264853661723212,False,Left Foot,Volley,Open Play,False,False,False,5,8,117.0,40.7,117.0,41.5,Saved,0.02182735
51808f65-639f-4dbd-bd51-3b8dde23358a,3857260,106,794,Mexico,26301,Ernesto Alexis Vega Rojas,1,2,37,From Keeper,101.6,38.9,18.432851108821993,0.05971154080638948,False,Right Foot,Normal,Open Play,True,False,False,4,8,105.8,39.3,105.0,39.5,Saved,0.3665275
03393099-8769-4c00-a967-28016d84004c,3857260,106,799,Saudi Arabia,5713,Mohammed Kanoo,1,7,41,From Goal Kick,113.0,54.1,15.7419820861288,-1.1099896192422674,False,Right Foot,Half Volley,Open Play,False,False,False,4,7,118.1,44.1,120.0,36.8,Off T,0.047937077
7486f25f-0e69-48b8-b2db-b2dc4b1d4e4f,3857260,106,799,Saudi Arabia,5713,Mohammed Kanoo,1,12,58,From Free Kick,96.3,33.5,24.575190741884388,0.2676795999299396,False,Right Foot,Normal,Free Kick,False,False,False,6,11,118.8,41.0,120.0,37.0,Off T,0.073429175
095adc8d-612d-445a-9a9a-33100ece166c,3857260,106,794,Mexico,28825,Luis Gerardo Chávez Magallón,1,22,21,Regular Play,92.7,40.4,27.30293024567143,-0.014650966281393327,False,Left Foot,Volley,Open Play,True,False,False,7,10,118.9,39.2,118.5,39.2,Saved,0.01981399
